M,K,N,shape_str,overlap_ratio,prefetch_ratio,ratio_str,avg_gflops,peak_gflops,avg_time_ms,std_time_ms,flops,cv,efficiency,matrix_volume
2048,2048,2048,2048x2048x2048,0.0,0.25,"o=0.0, p=0.25",321730.03401917854,333874.9410178585,0.053398400420943896,0.0009160852305022587,17179869184,1.7155668021526582,32173.003401917857,8589934592
2048,2048,2048,2048x2048x2048,0.0,0.5,"o=0.0, p=0.5",322322.386800379,331606.4953873494,0.05330026671290398,0.0007924759373515945,17179869184,1.4868142060529996,32232.238680037903,8589934592
2048,2048,2048,2048x2048x2048,0.0,0.75,"o=0.0, p=0.75",291931.0412120152,302292.17691847257,0.0588490662475427,0.0017635545189487822,17179869184,2.9967417180938214,29193.10412120152,8589934592
2048,2048,2048,2048x2048x2048,0.25,0.25,"o=0.25, p=0.25",322025.9398820562,328763.57576455304,0.05334933325648308,0.0009239486867262539,17179869184,1.7318842248398196,32202.59398820562,8589934592
2048,2048,2048,2048x2048x2048,0.5,0.5,"o=0.5, p=0.5",320526.3263287739,334290.7286669386,0.05359893329441547,0.0019701101077041995,17179869184,3.6756517091161354,32052.63263287739,8589934592
2048,2048,2048,2048x2048x2048,0.75,0.75,"o=0.75, p=0.75",293420.1845364959,303316.90398033784,0.058550400038560234,0.001186250902278639,17179869184,2.0260338127449096,29342.018453649587,8589934592
2048,2048,2048,2048x2048x2048,0.25,0.75,"o=0.25, p=0.75",292095.1639407929,302462.4836659393,0.05881600007414818,0.0013177106442216625,17179869184,2.2403948628952164,29209.51639407929,8589934592
2048,2048,2048,2048x2048x2048,0.75,0.25,"o=0.75, p=0.25",321556.60745415813,332222.1062058868,0.05342720001935959,0.001147445870281611,17179869184,2.1476810872848078,32155.660745415815,8589934592
2048,2048,2048,2048x2048x2048,0.5,0.25,"o=0.5, p=0.25",322238.5536625365,335754.17644001264,0.053314133236805596,0.0012409769837466447,17179869184,2.32766980986935,32223.85536625365,8589934592
2048,2048,2048,2048x2048x2048,0.25,0.5,"o=0.25, p=0.5",320756.1265996321,330178.904314726,0.05356053325037161,0.000946813476253509,17179869184,1.76774467839515,32075.612659963208,8589934592
2048,2048,2048,2048x2048x2048,0.5,0.75,"o=0.5, p=0.75",293725.1955772666,306958.77516091056,0.058489599948128065,0.001181356425131801,17179869184,2.0197717648598994,29372.51955772666,8589934592
2048,2048,2048,2048x2048x2048,0.75,0.5,"o=0.75, p=0.5",322509.55906471016,333460.1863894141,0.05326933326820533,0.0010034717698157918,17179869184,1.883770094818758,32250.95590647102,8589934592
2048,2048,2048,2048x2048x2048,0.1,0.1,"o=0.1, p=0.1",345669.55691797804,356962.0322296574,0.04970026674369971,0.0009808829819566523,17179869184,1.9735970171246504,34566.955691797804,8589934592
2048,2048,2048,2048x2048x2048,0.9,0.9,"o=0.9, p=0.9",293089.13765650877,306083.7638406562,0.05861653325458368,0.0012476903193546858,17179869184,2.1285638199306494,29308.91376565088,8589934592
2048,2048,2048,2048x2048x2048,0.33,0.67,"o=0.33, p=0.67",292647.12855212396,305213.70672454924,0.058705066641171776,0.0016519715212369092,17179869184,2.814018645672276,29264.712855212394,8589934592
2048,2048,2048,2048x2048x2048,0.67,0.33,"o=0.67, p=0.33",320756.1280869332,329166.7224066515,0.05356053300201893,0.0009611611331416508,17179869184,1.794532427646716,32075.612808693324,8589934592
2048,2048,2048,2048x2048x2048,0.4,0.6,"o=0.4, p=0.6",320373.3087430193,331606.4953873494,0.05362453336517016,0.0011952954942636893,17179869184,2.229008663113234,32037.330874301933,8589934592
2048,2048,2048,2048x2048x2048,0.6,0.4,"o=0.6, p=0.4",322135.4324154005,331401.79846060055,0.053331200033426285,0.000832762922508003,17179869184,1.5614929384413887,32213.54324154005,8589934592
3072,3072,3072,3072x3072x3072,0.0,0.0,"o=0.0, p=0.0",433772.3330049802,447834.72431875276,0.13366933315992355,0.0023908659754090277,57982058496,1.7886421057764743,43377.23330049802,28991029248
3072,3072,3072,3072x3072x3072,1.0,1.0,"o=1.0, p=1.0",356723.1051808956,370918.98924223403,0.1625407988826434,0.0022407252861702926,57982058496,1.3785617528483578,35672.31051808956,28991029248
3072,3072,3072,3072x3072x3072,0.25,0.0,"o=0.25, p=0.0",420211.8127333092,439897.87762322905,0.13798293322324753,0.0025829428305767363,57982058496,1.8719292090984183,42021.18127333092,28991029248
3072,3072,3072,3072x3072x3072,0.5,0.0,"o=0.5, p=0.0",421907.8072817509,437772.23752529087,0.1374282663067182,0.0020184443632225105,57982058496,1.4687257705177341,42190.78072817509,28991029248
3072,3072,3072,3072x3072x3072,0.75,0.0,"o=0.75, p=0.0",418680.9109653667,431825.4065350957,0.1384874661763509,0.002483880580504047,57982058496,1.7935778948696024,41868.09109653667,28991029248
3072,3072,3072,3072x3072x3072,0.0,0.25,"o=0.0, p=0.25",394317.0296499786,410219.4657438598,0.14704426676034926,0.002164326050829113,57982058496,1.4718874108546522,39431.702964997865,28991029248
3072,3072,3072,3072x3072x3072,0.0,0.5,"o=0.0, p=0.5",366322.16570869344,372520.43759603385,0.1582815999786059,0.0020982848912897,57982058496,1.3256657069257034,36632.21657086934,28991029248
3072,3072,3072,3072x3072x3072,0.0,0.75,"o=0.0, p=0.75",356367.6282064452,364062.55729992694,0.1627029334505399,0.002429694180833548,57982058496,1.493331514869184,35636.76282064452,28991029248
3072,3072,3072,3072x3072x3072,0.25,0.25,"o=0.25, p=0.25",394019.7717917545,406720.3730775776,0.14715520044167837,0.00226966454235758,57982058496,1.542361082411838,39401.977179175454,28991029248
3072,3072,3072,3072x3072x3072,0.5,0.5,"o=0.5, p=0.5",365052.751371138,371908.74090307974,0.1588319996992747,0.001895466295652089,57982058496,1.1933780971346322,36505.27513711379,28991029248
3072,3072,3072,3072x3072x3072,0.75,0.75,"o=0.75, p=0.75",356330.251873896,363916.3169575725,0.16271999975045523,0.0021415470711663703,57982058496,1.3160933348393635,35633.0251873896,28991029248
3072,3072,3072,3072x3072x3072,0.25,0.75,"o=0.25, p=0.75",356456.4331913559,367384.3041784329,0.16266239881515504,0.0019707151220709172,57982058496,1.2115369848383843,35645.64331913559,28991029248
3072,3072,3072,3072x3072x3072,0.75,0.25,"o=0.75, p=0.25",392803.98854613974,406811.71079068206,0.14761066635449727,0.0016664822358055543,57982058496,1.128971419858902,39280.39885461397,28991029248
3072,3072,3072,3072x3072x3072,0.5,0.25,"o=0.5, p=0.25",394431.4795702463,403460.1068509765,0.14700159976879756,0.0018978889289191438,57982058496,1.291066853628887,39443.14795702463,28991029248
3072,3072,3072,3072x3072x3072,0.25,0.5,"o=0.25, p=0.5",365352.08956764906,372214.337934284,0.1587018663684527,0.0017139105906267818,57982058496,1.0799561655107786,36535.2089567649,28991029248
3072,3072,3072,3072x3072x3072,0.5,0.75,"o=0.5, p=0.75",355838.07557483687,362968.6279398003,0.16294506539901096,0.0017599512428314412,57982058496,1.0800887026076973,35583.807557483684,28991029248
3072,3072,3072,3072x3072x3072,0.75,0.5,"o=0.75, p=0.5",364817.5493867459,370918.98924223403,0.15893440047899882,0.0018429537549634488,57982058496,1.1595688217334497,36481.75493867459,28991029248
3072,3072,3072,3072x3072x3072,0.1,0.1,"o=0.1, p=0.1",393771.4517575133,405809.5006221098,0.14724799940983455,0.0022020518067248336,57982058496,1.4954714600881436,39377.14517575133,28991029248
3072,3072,3072,3072x3072x3072,0.9,0.9,"o=0.9, p=0.9",357034.7226905167,365163.10044902324,0.16239893436431885,0.0019752309711071154,57982058496,1.2162832095166132,35703.472269051665,28991029248
3072,3072,3072,3072x3072x3072,0.33,0.67,"o=0.33, p=0.67",366290.0739561295,373057.30731076805,0.15829546749591827,0.001691242060736335,57982058496,1.0684083931714246,36629.00739561295,28991029248
3072,3072,3072,3072x3072x3072,0.67,0.33,"o=0.67, p=0.33",392866.4443373277,409200.3727443989,0.1475872000058492,0.002482278208820834,57982058496,1.6819061603732952,39286.64443373276,28991029248
3072,3072,3072,3072x3072x3072,0.4,0.6,"o=0.4, p=0.6",366238.24866756645,376077.0788372993,0.15831786741813023,0.0019473375503953742,57982058496,1.2300175477050224,36623.824866756644,28991029248
3072,3072,3072,3072x3072x3072,0.6,0.4,"o=0.6, p=0.4",392044.74528135796,404902.65681345825,0.14789653271436692,0.002130098445873906,57982058496,1.4402625989804456,39204.4745281358,28991029248
4096,4096,4096,4096x4096x4096,0.0,0.0,"o=0.0, p=0.0",235122.0834605723,237579.7903317291,0.5845429380734761,0.002369699634773954,137438953472,0.405393595649955,23512.20834605723,68719476736
4096,4096,4096,4096x4096x4096,1.0,1.0,"o=1.0, p=1.0",228059.02913840974,232009.90900826157,0.6026464025179545,0.0038694334572592554,137438953472,0.6420736008863794,22805.90291384097,68719476736
4096,4096,4096,4096x4096x4096,0.25,0.0,"o=0.25, p=0.0",234351.04717538375,235922.39908424916,0.5864661375681559,0.00200645696272278,137438953472,0.3421266521956011,23435.104717538376,68719476736
4096,4096,4096,4096x4096x4096,0.5,0.0,"o=0.5, p=0.0",234313.11770008737,235650.57622468143,0.5865610718727112,0.0021040105746923665,137438953472,0.3587027294489387,23431.311770008735,68719476736
4096,4096,4096,4096x4096x4096,0.75,0.0,"o=0.75, p=0.0",234298.63483644518,236207.84275862973,0.586597329378128,0.002334189414305796,137438953472,0.39792022523872556,23429.86348364452,68719476736
4096,4096,4096,4096x4096x4096,0.0,0.25,"o=0.0, p=0.25",234030.52918034093,236637.31786626598,0.5872693359851837,0.00195629796191008,137438953472,0.3331176756620978,23403.052918034093,68719476736
4096,4096,4096,4096x4096x4096,0.0,0.5,"o=0.0, p=0.5",232378.95663207016,234415.8514549863,0.5914431989192963,0.0022887870177317523,137438953472,0.3869834029563441,23237.895663207015,68719476736
4096,4096,4096,4096x4096x4096,0.0,0.75,"o=0.0, p=0.75",230383.74265803583,232009.90900826157,0.596565330028534,0.002370378800449773,137438953472,0.39733767303178635,23038.374265803584,68719476736
4096,4096,4096,4096x4096x4096,0.25,0.25,"o=0.25, p=0.25",233952.34437768703,235637.64446191292,0.5874655961990356,0.0024330929012358954,137438953472,0.4141677260725161,23395.2344377687,68719476736
4096,4096,4096,4096x4096x4096,0.5,0.5,"o=0.5, p=0.5",232082.61467759722,236311.81398818234,0.5921984016895294,0.0030510444623357592,137438953472,0.5152064668920406,23208.26146775972,68719476736
4096,4096,4096,4096x4096x4096,0.75,0.75,"o=0.75, p=0.75",229954.0788083106,232802.18404858184,0.5976799984773,0.00292033366349734,137438953472,0.4886115765857028,22995.40788083106,68719476736
4096,4096,4096,4096x4096x4096,0.25,0.75,"o=0.25, p=0.75",230175.07955268509,233536.3640382679,0.5971061408519744,0.0034692952318026724,137438953472,0.5810181799256906,23017.50795526851,68719476736
4096,4096,4096,4096x4096x4096,0.75,0.25,"o=0.75, p=0.25",234164.5044741424,236598.20132221782,0.5869333346684774,0.0018564291007082895,137438953472,0.3162930082607886,23416.45044741424,68719476736
4096,4096,4096,4096x4096x4096,0.5,0.25,"o=0.5, p=0.25",233926.85840848234,235070.19241730738,0.5875295996665955,0.002040038706089232,137438953472,0.34722313688482925,23392.685840848233,68719476736
4096,4096,4096,4096x4096x4096,0.25,0.5,"o=0.25, p=0.5",231801.6264796294,234019.90027330173,0.5929162601629893,0.0024196236841399184,137438953472,0.40808860318230733,23180.162647962938,68719476736
4096,4096,4096,4096x4096x4096,0.5,0.75,"o=0.5, p=0.75",230104.37988638633,232323.6383042619,0.5972896019617716,0.00197529753350971,137438953472,0.33071018263534663,23010.437988638634,68719476736
4096,4096,4096,4096x4096x4096,0.75,0.5,"o=0.75, p=0.5",232259.1565380387,235663.50940691476,0.5917482674121857,0.0033204913792485775,137438953472,0.5611324210157205,23225.91565380387,68719476736
4096,4096,4096,4096x4096x4096,0.1,0.1,"o=0.1, p=0.1",234035.2093724864,234915.89155414712,0.5872575918833415,0.0014863412771102546,137438953472,0.2530986908732064,23403.520937248642,68719476736
4096,4096,4096,4096x4096x4096,0.9,0.9,"o=0.9, p=0.9",228480.01521325632,231409.8788049941,0.6015359958012899,0.003878116285730727,137438953472,0.6447022809607249,22848.001521325634,68719476736
4096,4096,4096,4096x4096x4096,0.33,0.67,"o=0.33, p=0.67",230721.6056561114,232537.47619895492,0.5956917345523834,0.002510340701402908,137438953472,0.4214160707281319,23072.160565611142,68719476736
4096,4096,4096,4096x4096x4096,0.67,0.33,"o=0.67, p=0.33",232108.5336774809,234096.42619391409,0.5921322723229726,0.002412181956388084,137438953472,0.40737214793663257,23210.853367748092,68719476736
4096,4096,4096,4096x4096x4096,0.4,0.6,"o=0.4, p=0.6",230402.280048101,232688.66742294226,0.5965173323949178,0.0025838276320140348,137438953472,0.43315214691925163,23040.228004810102,68719476736
